AGE,SEGMENT,GENDER,MARITAL_STATUS,PROFESSION,MARKET
27,Music,M,Single,Professional,New York
39,Music,F,Married,Other,New York
39,Music,F,Married,Other,New York
56,Sports,F,Unspecified,Hospitality,Los Angeles
45,Family,M,Married,Retired,Chicago
45,Family,M,Married,Retired,New York
39,Music,F,Married,Other,New York
49,Arts,F,Married,Other,Chicago
49,Arts,F,Married,Other,Chicago
47,Family,M,Married,Retired,Chicago
47,Family,M,Married,Retired,Chicago
21,Arts,M,Single,Retail,New York
66,Sports,F,Married,Other,Chicago
35,Sports,F,Married,Professional,Los Angeles
20,Arts,M,Single,Sales,Chicago
20,Arts,M,Single,Sales,Chicago
20,Arts,M,Single,Sales,Chicago
37,Sports,F,Single,Other,New York
42,Music,M,Married,Other,New York
24,Music,F,Married,Retail,New York
24,Music,F,Married,Retail,New York
29,Arts,M,Single,Retail,Chicago
29,Arts,M,Single,Retail,Chicago
43,Music,M,Married,Trades,New York
43,Music,M,Married,Trades,New York
43,Music,F,Unspecified,Hospitality,New York
43,Music,F,Unspecified,Hospitality,New York
43,Sports,F,Unspecified,Hospitality,New York
43,Sports,F,Unspecified,Hospitality,New York
29,Music,M,Single,Other,New York
41,Arts,M,Married,Professional,DC
32,Music,M,Married,Other,New York
34,Music,M,Married,Sales,New York
18,Sports,F,Single,Student,Los Angeles
31,Music,F,Married,Executive,Chicago
28,Music,M,Single,Trades,New York
24,Arts,F,Single,Student,Chicago
29,Music,F,Single,Other,New York
29,Music,F,Single,Other,New York
68,Sports,F,Unspecified,Hospitality,New York
42,Music,M,Married,Trades,New York
42,Music,M,Married,Trades,New York
33,Music,F,Married,Hospitality,New York
33,Music,F,Married,Hospitality,New York
33,Music,F,Married,Hospitality,New York
54,Arts,F,Married,Other,Chicago
54,Arts,F,Married,Other,Chicago
54,Arts,F,Married,Other,Chicago
38,Family,M,Married,Executive,Chicago
38,Family,M,Married,Executive,Chicago
38,Family,M,Married,Executive,Chicago
24,Arts,M,Single,Other,Chicago
24,Arts,F,Unspecified,Other,Chicago
24,Arts,F,Unspecified,Other,Chicago
20,Sports,F,Single,Retail,New York
20,Music,F,Single,Retail,New York
29,Sports,F,Single,Professional,Los Angeles
40,Music,M,Married,Other,New York
49,Sports,F,Unspecified,Hospitality,Los Angeles
26,Music,F,Single,Other,New York
51,Sports,F,Unspecified,Hospitality,Los Angeles
29,Arts,M,Single,Professional,Chicago
33,Music,F,Married,Executive,New York
47,Arts,M,Married,Professional,Chicago
38,Music,F,Married,Other,New York
39,Music,F,Married,Executive,New York
29,Music,M,Single,Professional,Los Angeles
29,Music,M,Single,Professional,New York
33,Music,F,Married,Executive,New York
20,Arts,F,Single,Professional,Chicago
31,Music,M,Married,Other,New York
31,Sports,F,Single,Other,New York
42,Music,F,Married,Other,New York
42,Music,F,Married,Other,New York
42,Music,F,Married,Other,New York
21,Music,M,Single,Trades,New York
65,Arts,F,Married,Other,Los Angeles
